id,EAP,HPL,MWS
id02310,0.092207275,0.012836586,0.8949561
id24541,0.9981212,0.001513918,0.0003648671
id00134,0.062350553,0.9357315,0.0019179628
id27757,0.5951535,0.4002239,0.0046225693
id04081,0.96513647,0.014516801,0.020346688
id27337,0.8770993,0.11140697,0.011493825
id24265,0.739488,0.20048553,0.06002648
id25917,0.021020347,0.088599935,0.89037967
id04951,0.9920845,0.0068005533,0.0011150114
id14549,0.79532796,0.08683077,0.117841296
id22505,0.10653099,0.03097453,0.86249447
id24002,0.000342154,0.9996055,5.2416523e-05
id18982,0.16376086,0.7470192,0.08921991
id15181,0.0018668876,0.99781835,0.00031480062
id21888,0.6433612,0.15134345,0.20529531
id12035,0.003234178,0.00062341604,0.99614245
id17991,0.2581518,0.018646512,0.7232017
id10707,0.99960583,0.00026025184,0.00013389527
id07101,0.2859771,0.2069742,0.50704867
id00345,0.025307618,0.9626952,0.011997244
id05912,0.92992014,0.05204081,0.018039066
id13443,0.946594,0.014871277,0.038534794
id09248,0.3535486,0.109847285,0.5366041
id17542,0.04850473,0.9454505,0.006044728
id06995,0.022194497,0.00014806245,0.97765744
id25159,0.742095,0.024802428,0.23310255
id25729,0.33375204,0.5773494,0.08889855
id26949,0.9300343,0.058063846,0.011901912
id27191,0.64362264,0.03932098,0.31705642
id07668,0.25076756,0.0012055621,0.74802685
id02230,0.30008122,0.16972114,0.5301976
id15553,0.9978963,0.00059876574,0.0015048434
id25688,0.0009864554,0.9985324,0.00048117555
id17545,0.982988,0.0071338355,0.009878234
id13929,0.4675375,0.4143452,0.11811736
id12880,0.10357717,0.8099997,0.0864231
id19282,0.6532272,0.07743606,0.26933676
id14690,0.06148354,0.007071672,0.9314448
id17975,0.0015625096,0.9955396,0.0028978817
id08037,0.77203065,0.0040957155,0.22387366
id15412,0.2174528,0.021165142,0.76138204
id25032,0.5211105,0.0541086,0.4247809
id27165,0.9976584,0.0018094415,0.0005321963
id03327,0.82489824,0.12793611,0.04716569
id18515,0.9753862,0.0037060338,0.020907756
id21003,0.09721077,0.034260027,0.86852926
id23855,0.013587959,0.87987614,0.10653588
id20724,0.818688,0.08821612,0.09309591
id13303,0.46993223,0.14094082,0.38912693
id16521,0.013382087,0.20624007,0.78037786
id20775,0.99913114,0.00020176996,0.0006670501
id13029,0.998803,0.0007327521,0.0004642613
id14660,0.5974787,0.3745273,0.027993996
id11028,0.0089038545,0.0012027944,0.9898934
id14180,0.92283076,0.06913001,0.008039222
id25860,0.99931717,0.00034867603,0.00033413302
id11910,0.5239438,0.025058355,0.45099786
id08065,0.32722688,0.09990002,0.5728731
id22674,0.041912347,0.0013639046,0.9567237
id25018,0.19182098,0.0320121,0.7761669
id10892,0.0012836172,0.99849737,0.00021907013
id10217,0.018040461,0.9814834,0.00047610694
id12996,0.31825268,0.28466266,0.39708468
id18262,0.48132986,0.27893528,0.23973484
id08606,0.0004490949,0.9993979,0.0001529788
id17233,0.8622985,0.035666723,0.102034725
id00101,0.6145876,0.15539698,0.23001541
id12225,0.9075399,0.06446896,0.027991148
id01364,0.0043189237,0.9927705,0.0029106203
id24973,0.6854259,0.038329758,0.27624434
id25363,0.85977536,0.001830185,0.13839445
id10061,0.583974,0.041588735,0.37443727
id17673,0.055275694,0.9272111,0.01751312
id13249,0.6376557,0.04034876,0.32199553
id10107,0.004180201,0.0010256505,0.9947942
id04403,0.9150264,0.0011646431,0.083808936
id25728,0.8712362,0.016966358,0.111797474
id16184,0.44713366,0.035472028,0.5173943
id03438,0.001128294,0.00023178427,0.9986399
id22923,0.064997464,0.9328275,0.002174998
id08610,0.9885889,0.001152225,0.010258827
id25355,0.10544447,0.014535543,0.88001996
id16916,0.36860043,0.60302293,0.028376635
id12793,0.1266396,0.8606714,0.012689014
id11859,0.42647627,0.09562596,0.4778978
id02434,0.9986474,0.0009794191,0.0003731891
id27703,0.009691716,0.0018422963,0.988466
id25212,0.045420647,0.9521844,0.002394952
id11308,0.18618919,0.119069256,0.69474155
id26094,0.7333816,0.20041579,0.06620261
id22080,0.85820735,0.13112757,0.010665051
id03545,0.9881414,0.010768852,0.0010897595
id23725,0.0114552025,0.0077299504,0.9808148
id12009,0.6405302,0.27191377,0.08755598
id24241,0.4589528,0.06467009,0.47637704
id03596,0.012571587,0.98635733,0.001071106
id10749,0.034336317,0.9573864,0.008277287
id22794,0.009914906,0.0020792405,0.9880058
id15482,0.26020592,0.6036209,0.1361732
id04833,0.7544727,0.21810324,0.027424118
id00397,0.0048634326,0.00016078283,0.9949758
id14691,0.0052610342,0.005102042,0.98963696
id05193,0.12694807,0.009191108,0.86386085
id19541,0.9844135,0.0037458204,0.011840663
id22166,0.0009804287,0.00018988288,0.99882966
id20744,0.0069465186,0.0013141219,0.9917394
